Horodateur;Année d'obtention de votre diplôme d'ambulancier;Département de formation ;Quel est le type d'activité de votre entreprise ? (Plusieurs réponses possibles);Quel est le secteur d'activité de votre entreprise ?;Combien d'ADE/CCA sont employés par votre entreprise;Combien d'auxiliaires sont employés par votre entreprise;Disposez-vous d'un jeu de tenues professionnelles identifiées :  Nom de l'entreprise ?;;De quelle couleur sont-elles ?;Avez-vous des protocoles d'hygiène dans votre entreprise ? ;;Si oui, sont-ils en adéquation avec l'enseignement réalisé à l'IFA ? ;Concernant le rythme de décontamination du matériel et du véhicule sanitaire,  réalisez-vous :;;Disposez-vous d'un lecteur de glycémie, appareil Dextro ?;;;;;Disposez-vous d'appareils permettant la réalisation d'électro-cardiogramme  (ECG) ? ;;;Disposez-vous de matériel pour réaliser des aspirations trachéales (dans la trachée, la canule de trachéotomie) ?;;;Vous disposez dans votre véhicule : (plusieurs réponses possibles);Lorsqu'un patient est à bord du véhicule sanitaire est-ce l'auxilaire qui conduit : ;;Lors d'une intervention, la suite de la prise en charge nécessite la pose d'une voie veineuse périphérique;;Lors d'une prise en charge d'un patient à domicile  il vous manque des informations pour la prise en charge de votre patient, hors celui-ci est porteur d'un courrier remis par son médecin traitant pour le service d'accueil .;Lors d'une admission, vous occupez-vous de l'entrée administrative de votre patient ( vous ou votre binôme ) ? ;;Dans les établissements de santé existe-t-il un guichet avec accès prioritaire ambulancier pour réaliser les démarches administratives de l'admission;;;;;;Lors d'un transfert, vous prenez en charge un patient porteur d'un pousse-seringue éléctrique;;
date;diplôme;dept;activite;Zone;ADE;Aux;tenues;T2;couleur;protocole;observance;cohérence;rythme;frequence;lecteur;L2;L3;prescripteur;quand j estime que ca le merite;ecg;ecg1;ecg2;aspirations;asp1;asp2;immobilisation;conducteur;cond2;vvp;vvp2;lettre;admission;Admission 1;Admission 2;;;;;;Transfert;;
04/10/2013 14:35;2013;67;VSL,  ASSU;Zone rurale et urbaine;7;0;Oui;Oui;Blanches;Oui;Toujours;Oui;Oui;Toutes les semaines ;;Non;Oui;De façon spontanée dans certaines situations ;malaises, diabétique connu;Oui;Oui de manière autonome;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Jamais;Jamais;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Jamais;;;;;;Oui;Votre entreprise ;
04/10/2013 14:37;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;17;25;Oui;Oui;Blanc et Bleu;Oui;Toujours;Non;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée régulièrement ;toutes interventions samu;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Oui;stage en sspi;
04/10/2013 14:40;2011;67;Ambulance de catégorie C;Zone rurale et urbaine;3;2;Oui;Oui;Bleu marine et Blanche;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;Si besoin sur demande du medecin généralement;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;On contacte le prescripteur du transport ou le service d'accueil du patient pour demander l'autorisation;Oui;Les deux ;Jamais;;;;;;Oui;Votre IFA;
04/10/2013 15:18;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;25;30;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines , tous les mois ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;Selon les symptomes;Oui;Oui sous contrôle d'un médecin ou d'un infirmier;Oui;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;On a pas le droit de l'ouvrir mais il me paraît judiceux de l'ouvrir pour s'avoir comment traiter le patient;Oui;;Parfois;;;;;;Non;;
04/10/2013 15:20;2013;38;VSL, Ambulance de catégorie C;Zone rurale;4;3;Oui;Non;BLEUES;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;C H U;
04/10/2013 15:37;2008;67;Ambulance de catégorie C;Zone rurale et urbaine;2;2;Oui;Oui;Bleu et blanc;Oui;Toujours;Oui;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 15:37;2012;67;Ambulance de catégorie C;Zone urbaine;2;2;Oui;Oui;Bleu ou blanc;Oui;Parfois;Oui;Non;Tous les jours;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;
04/10/2013 16:05;2012;38; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;3;0;Oui;Oui;Bleues et blanches;Oui;Toujours;Oui;Oui;tous les mois ;Oui;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 16:28;2012;67; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;7;3;Oui;Oui;bleu et jaune;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines , tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;en assu  seulement;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Non;;
